Nombre de la entidad,Nombre del municipio o delegación,Nombre del centro de trabajo,Nombre del control (Público o Privado),Parámetros biológicos y físicos (PBF): COLIFORMES FECALES,Parámetros biológicos y físicos (PBF): TURBIEDAD,Parámetros químicos (no metálicos) (PBQ): FLUORUROS,Parámetros químicos (no metálicos) (PBQ): NITRATOS,Parámetros químicos (no metálicos) (PBQ): SÓLIDOS DISUELTOS,Parámetros químicos metálicos (o metaloides) (PBM): ALUMINIO,Parámetros químicos metálicos (o metaloides) (PBM): ARSÉNICO,Parámetros químicos metálicos (o metaloides) (PBM): HIERRO,Parámetros químicos metálicos (o metaloides) (PBM): PLOMO,Período de información
AGUASCALIENTES,AGUASCALIENTES,FRAY BARTOLOME DE LAS CASAS,PÚBLICO,,,2.795,,,,0.0153,,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,JOSE VASCONCELOS,PÚBLICO,,,2.751,,,,0.0131,0.010,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,GUADALUPE AMOR,PÚBLICO,,,3.010,,,,0.0097,0.494,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,HELLEN KELLER,PÚBLICO,,,2.533,,,,0.0162,0.010,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,JULIO VERNE,PÚBLICO,,,1.742,,,,0.0139,0.010,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,JOSE MARIA MORELOS Y PAVON,PÚBLICO,,,2.067,,,,0.0060,0.042,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,FRANCISCO VELA MARMOLEJO,PÚBLICO,,,1.941,,,,0.0081,0.031,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,JAIME AIZPURU JAYME,PÚBLICO,,,3.072,,,,0.0086,0.017,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,UNESCO,PÚBLICO,,,3.567,,,,0.0050,0.05,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,EVELIA ANDRADE ENCISO,PÚBLICO,,,1.941,,,,0.0067,0.048,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,EMMA GODOY,PÚBLICO,,,2.110,,,,0.0070,0.010,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,PAULO FREIRE,PÚBLICO,,,2.966,,,,0.0057,0.046,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,JOSE MARIA CHAVEZ,PÚBLICO,,,2.172,,,,0.0072,0.010,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,JAIME NUNO,PÚBLICO,,,3.814,,,,0.0093,0.010,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,JERONIMO DE LA CUEVA,PÚBLICO,,,3.612,,,,0.0094,0.010,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,ROSARIO CASTELLANOS,PÚBLICO,,,3.197,,,,0.0074,0.010,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,AMALIA GONZALEZ CABALLERO DE CASTILLO LEDON,PÚBLICO,,,2.162,,,,0.0247,0.130,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,MA. GUADALUPE ROSALES JIMENEZ,PÚBLICO,,,1.599,,,,0.0078,0.084,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,JUAN RULFO,PÚBLICO,,,2.355,,,,0.0079,0.010,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,DR. PEDRO DE ALBA,PÚBLICO,,,2.668,,,,0.0285,0.038,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,AÑO INTERNACIONAL DEL NIÑO,PÚBLICO,,,1.895,,,,0.0098,0.055,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,FRAY BARTOLOME DE LAS CASAS,PÚBLICO,,,2.618,,,,0.0082,0.038,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,EDMUNDO GAMES OROZCO,PÚBLICO,,,2.114,,,,0.0207,0.053,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,ENRIQUE C. REBSAMEN,PÚBLICO,,,1.941,,,,0.0207,0.064,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,LIC. FRANCISCO PRIMO VERDAD,PÚBLICO,,,2.227,,,,0.0088,0.032,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,CUAUHTEMOC,PÚBLICO,,,1.937,,,,0.0071,0.010,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,REFORMA,PÚBLICO,,,2.630,,,,0.0092,0.043,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,DR. JESUS DIAZ DE LEON,PÚBLICO,,,2.783,,,,0.0076,0.049,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,INDEPENDENCIA,PÚBLICO,,,2.051,,,,0.0176,0.072,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,GABRIEL RAMOS MILLAN,PÚBLICO,,,3.044,,,,0.0066,0.051,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,VICENTE GUERRERO,PÚBLICO,,,2.545,,,,0.0051,0.045,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,HEROE DE NACOZARI,PÚBLICO,,,2.279,,,,0.0056,0.072,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,CARITINO MALDONADO,PÚBLICO,,,2.524,,,,0.0055,0.053,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,ALBERTO J. PANI,PÚBLICO,,,1.634,,,,0.0085,0.052,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,RAFAEL RAMIREZ UGARTE,PÚBLICO,,,1.926,,,,0.0139,0.066,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,MA. CONCEPCION MALDONADO RODRIGUEZ,PÚBLICO,,,1.469,,,,0.0105,0.074,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,ENRIQUE GARCIA GALLEGOS,PÚBLICO,,,2.990,,,,0.0130,0.102,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,GABRIEL FERNANDEZ LEDEZMA,PÚBLICO,,,2.194,,,,0.0050,0.040,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,DIEGO RIVERA,PÚBLICO,,,2.114,,,,0.0066,0.053,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,SECUNDARIA TECNICA NUM. 21 AGUSTIN LOPEZ ORTEGA,PÚBLICO,,,2.642,,,,0.0133,0.010,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,ANASTASIO SERNA,PÚBLICO,,,3.598,,,,0.0095,0.010,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,ETV NUM. 1 PLUTARCO ELIAS CALLES,PÚBLICO,,,3.007,,,,0.0084,0.066,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,ETV NUM. 106 VICENTA TRUJILLO MARTINEZ,PÚBLICO,,,2.250,,,,0.0096,0.010,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,LIC. BENITO JUAREZ,PÚBLICO,,,2.331,,,,0.0058,0.121,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,JOSE T. VELA SALAS,PÚBLICO,,,3.374,,,,0.0050,0.010,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,LAZARO CARDENAS,PÚBLICO,,,2.086,,,,0.0067,0.064,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,45185,PÚBLICO,,,1.463,,,,0.0112,0.010,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,MARTIN TRIANA,PÚBLICO,,,2.981,,,,0.0097,0.010,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,VICENTE GUERRERO,PÚBLICO,,,1.425,,,,0.0050,0.010,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,ETV NUM. 6 JAIME TORRES BODET,PÚBLICO,,,1.712,,,,0.0050,0.019,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,TELESECUNDARIA NUM. 29 GUSTAVO DIAZ ORDAZ,PÚBLICO,,,3.044,,,,0.0050,0.013,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,HERMENEGILDO GALEANA,PÚBLICO,,,2.861,,,,0.0050,0.010,,2018-2019
AGUASCALIENTES,AGUASCALIENTES,IGNACIO ZARAGOZA,PÚBLICO,,,2.735,,,,0.0117,0.107,,2018-2019
AGUASCALIENTES,ASIENTOS,JOSE MA. MORELOS,PÚBLICO,,,2.484,,,,0.0050,0.076,,2018-2019
AGUASCALIENTES,ASIENTOS,ETV NUM. 35 FRANCISCO I. MADERO,PÚBLICO,,,1.546,,,,0.0050,0.029,,2018-2019
AGUASCALIENTES,ASIENTOS,SECUNDARIA TECNICA NUM. 8,PÚBLICO,,,1.599,,,,0.0159,0.048,,2018-2019
AGUASCALIENTES,ASIENTOS,ETV NUM. 117 CARLOS BARRON LETECHIPIA,PÚBLICO,,,2.380,,,,0.0077,0.024,,2018-2019
AGUASCALIENTES,ASIENTOS,ETV NUM. 11 FRANCISCO GONZALEZ BOCANEGRA,PÚBLICO,,,1.657,,,,0.0081,0.018,,2018-2019
AGUASCALIENTES,ASIENTOS,INDEPENDENCIA,PÚBLICO,,,1.604,,,,0.0273,0.010,,2018-2019
AGUASCALIENTES,ASIENTOS,JILOTEPEC,PÚBLICO,,,1.465,,,,0.0050,0.048,,2018-2019
AGUASCALIENTES,ASIENTOS,EMILIO CARRANZA,PÚBLICO,,,1.434,,,,0.0106,0.029,,2018-2019
AGUASCALIENTES,CALVILLO,MARIA HELENA CHANES,PÚBLICO,,,1.857,,,,0.0050,0.029,,2018-2019
AGUASCALIENTES,CALVILLO,JUVENTINO ROSAS,PÚBLICO,,,2.715,,,,0.0050,0.028,,2018-2019
AGUASCALIENTES,CALVILLO,SOR JUANA INES DE LA CRUZ,PÚBLICO,,,2.247,,,,0.0050,0.015,,2018-2019
AGUASCALIENTES,CALVILLO,ETV NUM. 90 CONSTITUCION DE 1917,PÚBLICO,,,2.421,,,,0.0073,0.028,,2018-2019
AGUASCALIENTES,CALVILLO,IGNACIO ZARAGOZA,PÚBLICO,,,3.418,,,,0.0050,0.158,,2018-2019
AGUASCALIENTES,CALVILLO,SECUNDARIA TECNICA NUM. 30,PÚBLICO,,,2.115,,,,0.0050,0.010,,2018-2019
AGUASCALIENTES,CALVILLO,"SECUNDARIA GENERAL NÚM. 23, RAFAEL RAMÍREZ CASTAÑEDA",PÚBLICO,,,1.685,,,,0.0050,0.010,,2018-2019
AGUASCALIENTES,COSÍO,FRANCISCO I. MADERO,PÚBLICO,,,1.889,,,,0.0417,0.030,,2018-2019
AGUASCALIENTES,COSÍO,JOSE MA. MORELOS,PÚBLICO,,,1.341,,,,0.0338,0.047,,2018-2019
AGUASCALIENTES,EL LLANO,ETV NUM. 135 FRANCISCO DE RIVERO Y GUTIERREZ,PÚBLICO,,,2.232,,,,0.0074,0.042,,2018-2019
AGUASCALIENTES,EL LLANO,GUADALUPE VICTORIA,PÚBLICO,,,1.918,,,,0.0062,0.058,,2018-2019
AGUASCALIENTES,EL LLANO,MANUEL GUTIERREZ NAJERA,PÚBLICO,,,2.341,,,,0.0084,0.043,,2018-2019
AGUASCALIENTES,EL LLANO,LAZARO CARDENAS,PÚBLICO,,,2.484,,,,0.0083,0.010,,2018-2019
AGUASCALIENTES,JESÚS MARÍA,ADOLFO LOPEZ MATEOS,PÚBLICO,,,1.848,,,,0.0276,0.034,,2018-2019
AGUASCALIENTES,JESÚS MARÍA,LUIS CABRERA,PÚBLICO,0,0.2,,,,,,,,2018-2019
AGUASCALIENTES,JESÚS MARÍA,JESUS TERAN PEREDO,PÚBLICO,,,1.657,,,,0.0226,0.016,,2018-2019
AGUASCALIENTES,JESÚS MARÍA,J. GUADALUPE POSADA,PÚBLICO,,,2.619,,,,0.0117,0.046,,2018-2019
AGUASCALIENTES,JESÚS MARÍA,NARCISO BASSOLS,PÚBLICO,,,2.111,,,,0.0132,0.062,,2018-2019
AGUASCALIENTES,JESÚS MARÍA,GREGORIO TORRES QUINTERO,PÚBLICO,,,1.600,,,,0.0132,0.035,,2018-2019
AGUASCALIENTES,OJUELOS DE JALISCO,JESUS MARMOLEJO,PÚBLICO,,,3.022,,,,0.0050,0.011,,2018-2019
AGUASCALIENTES,PABELLÓN DE ARTEAGA,LIC. BENITO JUAREZ,PÚBLICO,,,2.057,,,,0.0324,0.029,,2018-2019
AGUASCALIENTES,PABELLÓN DE ARTEAGA,45185,PÚBLICO,,,2.814,,,,0.0162,0.010,,2018-2019
AGUASCALIENTES,RINCÓN DE ROMOS,EMILIANO ZAPATA,PÚBLICO,,,1.470,,,,0.0276,0.552,,2018-2019
AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,RICARDO CORPUS ALONSO,PÚBLICO,,,1.144,,,,0.0147,0.044,,2018-2019
AGUASCALIENTES,SAN JOSÉ DE GRACIA,FRANCISCO I. MADERO,PÚBLICO,,,2.223,,,,0.0050,0.095,,2018-2019
AGUASCALIENTES,SAN JOSÉ DE GRACIA,NIÑOS HEROES,PÚBLICO,,,2.501,,,,0.0050,0.034,,2018-2019
AGUASCALIENTES,SAN JOSÉ DE GRACIA,ETV NUM. 40 JOSE DE JESUS RODRIGUEZ,PÚBLICO,,,1.497,,,,0.0050,0.053,,2018-2019
AGUASCALIENTES,TEPEZALÁ,NIÑO ARTILLERO,PÚBLICO,,,1.468,,,,0.0262,0.017,,2018-2019
AGUASCALIENTES,TEPEZALÁ,EMILIANO ZAPATA,PÚBLICO,,,1.552,,,,0.0207,0.021,,2018-2019
